S.No,Organisation Name,Tender Count
S.No,Organisation Name,Tender Count
1,Airports Authority of India,195
2,Aravali Power Company Pvt. Ltd - IGSTPP,12
3,Bharat Sanchar Nigam Limited (Govt of India Enterprise),396
4,Bokaro Power Supply Company (P) Limited,23
5,Brahmaputra Cracker and Polymer Limited,4
6,Brahmaputra Valley Fertilizer Corporation Limited,6
7,Cement Corporation of India Limted,25
8,Central Electronics Limited,15
9,Cochin Shipyard Limited,8
10,Council of Scientific and Industrial Research,310
11,Damodar Valley Corporation,69
12,Delhi Police Housing Corporation Ltd,1
13,East Delhi Municipal Corporation (EDMC),15
14,Engineering Projects (India) Ltd.,2
15,GAIL (India) Limited,51
16,Heavy Engineering Corporation Limited,1
17,Hindustan Copper Limited,13
18,HLL Lifecare Limited,68
19,HPCL Biofuels Limited,3
20,India Infrastructure Finance Company Limited,1
21,Indian Institute of Technology Madras,47
22,Indian Oil-Adani Gas Private Limited,5
23,Indian Port Rail Corporation Ltd.,3
24,India Tourism Development Corporation Ltd.,8
25,Instrumentation Ltd ( Govt of India Enterprise),11
26,IRCON International Limited,21
27,IREL (INDIA) Limited,20
28,Karmayogi Bharat (Delhi) - World Bank Tenders,1
29,Konkan LNG Limited,4
30,Maharashtra Natural Gas Ltd.,13
31,Meja Urja Nigam Pvt Ltd,11
32,Municipal Corporation of Delhi,177
33,Munitions India Limited,15
34,National Capital Region Transport Corporation - ADB Tenders,1
35,National Fertilizers Limited,32
36,National High Speed Rail Corporation Limited,6
37,National Highways Authority of India,381
38,National Informatics Centre Services Incorporated,4
39,National Projects Construction Corporation Limited,21
40,North Delhi Municipal Corporation,127
41,North Eastern Electric Power Corporation Limited,6
42,NTECL,15
43,Nuclear Power Corporation Of India Limited,1
44,Ratle Hydroelectric Power Corporation Limited,2
45,RITES Ltd.,18
46,South Delhi Municipal Corporation,66
47,Telecommunications Consultants India Limited,37
48,Uranium Corporation of India Limited,70
49,Uttar Pradesh Metro Rail Corporation Limited,9
50,Visakhapatnam Port Trust,17
51,V.O.Chidambaranar Port Trust,7
52,WAPCOS Limited,11

S.No,Organisation Name,Tender Count
1,Airports Authority of India,195
2,Aravali Power Company Pvt. Ltd - IGSTPP,12
3,Bharat Sanchar Nigam Limited (Govt of India Enterprise),396
4,Bokaro Power Supply Company (P) Limited,23
5,Brahmaputra Cracker and Polymer Limited,4
6,Brahmaputra Valley Fertilizer Corporation Limited,6
7,Cement Corporation of India Limted,25
8,Central Electronics Limited,15
9,Cochin Shipyard Limited,8
10,Council of Scientific and Industrial Research,310
11,Damodar Valley Corporation,69
12,Delhi Police Housing Corporation Ltd,1
13,East Delhi Municipal Corporation (EDMC),15
14,Engineering Projects (India) Ltd.,2
15,GAIL (India) Limited,51
16,Heavy Engineering Corporation Limited,1
17,Hindustan Copper Limited,13
18,HLL Lifecare Limited,68
19,HPCL Biofuels Limited,3
20,India Infrastructure Finance Company Limited,1
21,Indian Institute of Technology Madras,47
22,Indian Oil-Adani Gas Private Limited,5
23,Indian Port Rail Corporation Ltd.,3
24,India Tourism Development Corporation Ltd.,8
25,Instrumentation Ltd ( Govt of India Enterprise),11
26,IRCON International Limited,21
27,IREL (INDIA) Limited,20
28,Karmayogi Bharat (Delhi) - World Bank Tenders,1
29,Konkan LNG Limited,4
30,Maharashtra Natural Gas Ltd.,13
31,Meja Urja Nigam Pvt Ltd,11
32,Municipal Corporation of Delhi,177
33,Munitions India Limited,15
34,National Capital Region Transport Corporation - ADB Tenders,1
35,National Fertilizers Limited,32
36,National High Speed Rail Corporation Limited,6
37,National Highways Authority of India,381
38,National Informatics Centre Services Incorporated,4
39,National Projects Construction Corporation Limited,21
40,North Delhi Municipal Corporation,127
41,North Eastern Electric Power Corporation Limited,6
42,NTECL,15
43,Nuclear Power Corporation Of India Limited,1
44,Ratle Hydroelectric Power Corporation Limited,2
45,RITES Ltd.,18
46,South Delhi Municipal Corporation,66
47,Telecommunications Consultants India Limited,37
48,Uranium Corporation of India Limited,70
49,Uttar Pradesh Metro Rail Corporation Limited,9
50,Visakhapatnam Port Trust,17
51,V.O.Chidambaranar Port Trust,7
52,WAPCOS Limited,11

